Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
火;カ;ひ、-び、ほ-;;fire;火: fire, fire radical (no. 86);火;ひ・ひへん・れっか・れんが;(none);象形 Pictographic;fire;For some reason, this kanji reminds me of a person running, her arms (the two drops) raised up, because she caught on fire!;A tepee getting shot at by fire arrows.
玉;ギョク;たま、たま-、-だま;おう, だん;jewel, ball;玉: jewel, ball<br>丶: dot, tick or dot radical (no. 3);玉;たま・たまへん ・ おう・おうへん・あうさま;(none);象形 Pictographic;jewel;The king is said to have only one family jewel below the belt...;"The king is said to have only one family jewel below the belt...and he hangs left! (I always screw up the direction of the ""drop"")."
王;オウ、-ノウ;;おお, おおきみ, わ;king, rule, magnate;玉: jewel, ball;玉;たま・たまへん ・ おう・おうへん・あうさま;(none);象形 Pictographic;king;To be king you have to be a real crafty one !;The king unites heaven and earth. (imagine heaven being the top line over the soil).
石;セキ、シャク、コク;いし;いさ, いす, いわ, し, せっく, と;stone;口: mouth;石;いし・いしへん;(none);会意 Compound Ideographic;stone;Indiana Jones jumps up and grabs the lip of cliff just in time to evade the huge STONE rolling out of the mouth of the cave!;There´s a VERY simple way to remember this, in case the cliff thing isn´t working for you... Just see it as a stone [いし] being hammered by a miner searching for jewel stones [ほうせき] ,).
竹;チク;たけ;たか;bamboo;竹: bamboo, bamboo radical (no. 118);竹;たけ・たけかんむり;(none);象形 Pictographic;bamboo;Pandas like to eat bamboo. I´m using panda as the primitive name when it fits the story. ^__^.;Two reclining victims impaled on bamboo spheres...
糸;シ;いと;;thread;糸: thread, string, thread radical (no. 120);糸;いと・いとへん;絲;会意 Compound Ideographic;thread;I also went with Spiderman. However, in the cases where this primitive appears under other primitives, as opposed to on the left (I think there are ~5 times in this chapter) I´ve opted to use a similar character: Venom. This helps keep the positioning clear, especially on such characters as dainty (#1363) and accumulate (#1364).;You´ll be seeing this one a lot. Seriously.
貝;バイ;かい;;shellfish;目: eye, class, look, insight, experience, care, favor;貝;かい・かいへん・こがい;(none);象形 Pictographic;shellfish;Eye thought I saw a shellfish legging it down the beach!;Stare at the shellfish, it looks like an eye with legs.
車;シャ;くるま;くら, くろま;car;車: cart, car, car radical (no. 159);車;くるま・くるまへん;(none);象形 Pictographic;car;My car is so fast it can go through ten rice fields in ten minutes.;"Rather than hobbling along with a walking stick to cross through a span, it´s much better to use a car. (Imagine an old man with a walking stick creeping along a span of road, and you, in a car, whizzing right by him. It´s funny ´cause it´s true.) Also, it´s important to include the word ""through,"" so you know the walking stick goes right THROUGH the span."
金;キン、コン、ゴン;かね、かな-、-がね;かん, きむ, こ, この, ん;gold;金: metal, gold,  gold radical (no. 167);金;かね・かねへん;(none);象形 Pictographic;gold;The fat king taking up the whole space under the umbrella actually isn´t fat - he just has two big gold bars hidden under his clothes.;"Under the umbrella´s shade, the king sang, "" Drop it to the left, drop it to the right, give me all the GOLD in sight!""."
雨;ウ;あめ、あま-、-さめ;;rain;雨: rain, rain radical (no. 173);雨;あめ・あめかんむり・あまかんむり;(none);象形 Pictographic;rain;From the ceiling hangs a towel dripping four drops like RAIN.;Towel hung out on a line to ....oops, it´s rain.
赤;セキ、シャク;あか、あか-、あか.い、あか.らむ、あか.らめる;あ, あこ, あま;red;土: soil, earth, ground, Turkey;赤;あか・あかへん;(none);会意 Compound Ideographic;red;He was stabbed with a dagger, and little drops of red blood dropped onto the ground.;There was red all over the soil after Little Red Riding Hood plunged a dagger into the wolf. Those two dots we see are wolfies animal legs we see, by the way (a la smithsonian).
青;セイ、ショウ;あお、あお-、あお.い;お;blue, green;月: month, moon;青;あお・あおへん;(none);形声 Phonetic;blue;The last time I saw a blue moon was in my youth when I was growing up.;"Once in a blue moon refers to a rare event. But originally ""blue moon"" refers to a full moon, in other words a fully grown-up moon. Whether once a month is rare or not depends on what we´re talking about, but that happens to be the origin of the expression."
白;ハク、ビャク;しろ、しら-、しろ.い;あき, か, はっ;white;日: day, sun, Japan, counter for days;白;しろ・しろへん;(none);象形 Pictographic;white;A white ray is a drop of sun.;Even a small drop (´) of the sun (日) would make you see nothing but white.
数;スウ、ス、サク、ソク、シュ;かず、かぞ.える、しばしば、せ.める、わずらわ.しい;じゅ;number, strength, fate, law, figures;米: rice, USA, metre<br>女: woman, female<br>攵: strike, hit, folding chair radical variant (no. 66);攴;ぼくにょう・ぼくづくり・とまた・のぶん・しぶん;數;会意 Compound Ideographic;number;"Young taskmaster is learning numbers by watching women haul sacks of rice past him. ""One... two... four! No, wrong! Go back, go back!"".";Women toil in the rice fields carrying heavy sacks of rice to be numbered and counted by the taskmaster.
多;タ;おお.い、まさ.に、まさ.る;;many, frequent, much;夕: evening<br>夕: evening;夕;ゆう・ゆうべ・た;(none);会意 Compound Ideographic;many;Two evenings too many!;"This reminds me of a childish pseudo-confucion rhyme: ""He who eats many prunes sits on toilet many moons""."
少;ショウ;すく.ない、すこ.し;;few, little;小: little, small<br>丿: katakana no radical (no. 4);小;しょう・ちいさい・なおがしら・つ;(none);象形 Pictographic;few;Only a few people can make an ugly face like that.;Few usually refers to three. To emphasize three, we underline the three drops in little.
万;マン、バン;よろず;かず, ま, ゆる;ten thousand;一: one, one radical (no.1);艸;くさ・くさかんむり;萬;象形 Pictographic;ten thousand;I bound ten thousand dollars together and hid it under the floor.;"We have ""one"" at the top and if you turn the kanji 90 degrees you will see arabic 4 shich means it has four zeros in front of it!"
