Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
一;イチ、イツ;ひと-、ひと.つ;かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと;one;一: one, one radical (no. 1);一;いち;(none);指事 Ideographic;one;One down, 2041 to go. ,).;"To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for ""one"", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar."
二;ニ、ジ;ふた、ふた.つ、ふたたび;おと, つぐ, にい, は, ふ, ふたつ, ふだ, わ;two;二: two, two radical (no. 7);二;に・ふた;(none);指事 Ideographic;two;Two lines.;Roman numeral II, written on its side.
三;サン、ゾウ;み、み.つ、みっ.つ;か, さ, さい, さえ, さぶ, ざ, ざえ, ざぶ, そう, ぞ, ただ, みつ, みん, も, や;three;一: one, one radical (no.1)<br>一: one, one radical (no.1)<br>一: one, one radical (no.1);一;いち;(none);指事 Ideographic;three;One + two = three.;THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.
四;シ;よ、よ.つ、よっ.つ、よん;あ, つ, よつ;four;囗: box or enclosure radical (no. 31), box<br>八: eight, eight radical (no. 12);囗;くに・くにがまえ;(none);指事 Ideographic;four;FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.;I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?
五;ゴ;いつ、いつ.つ;い, さ, さつ, ち, ふ, み, め;five;二: two, two radical (no.2);二;に・ふた;(none);仮借 Loan;five;三 + two vertical lines = 5.;"This Kanji looks like a ""3"" Kanji with two added vertical lines. 3+2= 5."
六;ロク、リク;む、む.つ、むっ.つ、むい;く, むつ, ろっ, ろつ;six;亠: kettle lid radical (no. 8)<br>八: eight, eight radical (no. 12);八;はち・は・はちがしら;(none);仮借 Loan;six;Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.;Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.
七;シチ;なな、なな.つ、なの;し, しっ, な, ひち;seven;一: one, one radical (no.1)<br>乙: the latter, duplicate, strange, witty, fishhook radical (no. 5);一;いち;(none);仮借 Loan;seven;This kanji is our good old seven, turned upside down.;I wrote it upside down so I crossed it out.
八;ハチ;や、や.つ、やっ.つ、よう;な, は, はっ, はつ, やち, やつ;eight;八: eight, eight radical (no. 12);八;はち・は・はちがしら;(none);指事 Ideographic;eight;"Hachi (eight) begins with the sound of the katakana ""ha"", and it´s approximately the same character.";The valcano hasn´t erupted for 8 years.
九;キュウ、ク;ここの、ここの.つ;いちじく, いちのく, この, ひさし;nine;丿: katakana no radical (no. 4)<br>乙: the latter, duplicate, strange, witty, fishhook radical (no. 5);乙;おつ・おつにょう・つりばり;(none);象形 Pictographic;nine;Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.;Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.
十;ジュウ、ジッ、ジュッ;とお、と;い, か, ぎ, さ, し, そ, そう, ち, とう, ね, ま, る, わ;ten;十: ten, ten radical (no. 24);十;じゅう・じゅうへん;(none);指事 Ideographic;ten;Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).;I scared away ten vampires with a single cross!
百;ヒャク、ビャク;もも;お, ど, どう, なり, ひゃっ, ひゅく, も, もんど, ゆ;hundred;一: one, one radical (no.1)<br>白: white;白;しろ・しろへん;(none);指事 Ideographic;hundred;100 turned sideways. {sort of the same as what ashoksaraf said}.;That dirty ceiling was painted WHITE a hundred times!
千;セン;ち;かず, ゆき;thousand;丿: katakana no radical (no. 4)<br>十: ten;十;じゅう・じゅうへん;(none);形声 Phonetic;thousand;It takes many drops of ten to get to a thousand.;One T = one thousand.
上;ジョウ、ショウ、シャン;うえ、-うえ、うわ-、かみ、あ.げる、-あ.げる、あ.がる、-あ.がる、あ.がり、-あ.がり、のぼ.る、のぼ.り、のぼ.せる、のぼ.す、よ.す;あおい, あげ, い, か, かき, かず, かん, こう, のぼり, ほつ;above, up;卜: divination<br>一: one, one radical (no.1);一;いち;(none);指事 Ideographic;above;A magic wand standing on above the floor.;Above all else, be grounded if you are going to practice augury (#2103)卜. You could turn yourself into a トoad...
下;カ、ゲ;した、しも、もと、さ.げる、さ.がる、くだ.る、くだ.り、くだ.す、-くだ.す、くだ.さる、お.ろす、お.りる;さか, しと;below, down, descend, give, low, inferior;一: one, one radical (no.1)<br>卜: divination;一;いち;(none);指事 Ideographic;below;Roots are below the ground.;A magic wand hanging below the ceiling.
左;サ、シャ;ひだり;そ;left;工: craft, construction, katakana e radical (no. 48);工;こう・たくみ・たくみへん・え;(none);会意 Compound Ideographic;left;The LEFT side of my brain posesses the faculties needed for logical crafts, like engineering.;The left side of my brain, is for crafts.
右;ウ、ユウ;みぎ;あき, すけ;right;口: mouth;口;くち・くちへん;(none);会意 Compound Ideographic;right;The right hand is for putting food in your mouth. (The other hand is for ass-wiping!).;Always keep your right to free speech (mouth) by your side!
中;チュウ;なか、うち、あた.る;あたる, かなえ;in, inside, middle, mean, center;口: mouth<br>丨: number one, line, rod radical (no. 2);丨;ぼう・たてぼう;(none);象形 Pictographic;in;Pocky goes in the mouth.;My GF lets me come in her mouth (pictogram).
大;ダイ、タイ;おお-、おお.きい、-おお.いに;うふ, お, おう, た, たかし, とも, はじめ, ひろ, ひろし, まさ, まさる, もと, わ;large, big;大: big, big radical (no. 37);大;だい・おおきい;(none);象形 Pictographic;large;A person stretching their arms and legs to look large and scare a bear away.;Think of a large St. Bernard dog with his paws all stretched out.
小;ショウ;ちい.さい、こ-、お-、さ-;いさら, こう, さざ, しゃお, ちいさ;little, small;小: small, insignificant, small radical (no. 42);小;しょう・ちいさい・なおがしら・つ;(none);象形 Pictographic;little;A little penguin with its wings at its side.;A depressed child, head low and arms hung low, because he´s too little to ride the roller coaster.
月;ゲツ、ガツ;つき;おと, がっ, す, ずき, もり;month, moon;月: moon, month, moon radical (no. 74);月;つき・つきへん;(none);象形 Pictographic;month;A month is longer than a day.;"Am I the only one who sees this as someone sticking their ass in the air ""mooning"" someone (two cheeks of the butt and the legs coming off of it)? The Moon meaning connects well to the meaning of month, considering that months were traditionally measured by the phases of the moon. Also, the mooning ""ass"" part of it connects well to Hesig´s seemingly unconnected ""flesh"" or ""part of the body"" meaning (when used in primitive form)."
日;ニチ、ジツ;ひ、-び、-か;あ, あき, いる, く, くさ, こう, す, たち, に, にっ, につ, へ;day, sun, Japan;日: sun, day, sun radical (no. 72);日;ひ・ひへん・にち・にちへん;(none);象形 Pictographic;day;Open the window, new day.;Picture two halves of a 24-hr period: Day & Night.
年;ネン;とし;ね;year;丿: katakana no radical (no. 4)<br>干: dry, parch;干;かん・いちじゅう・ほす・ひる・たてかん;(none);会意 Compound Ideographic;year;A horse wears a pair of sunglasses with one lens popped out after a particularly raucous celebration to ring in the New Year.;A horse wears a monocle for New Years to appear dignified for the year of the horse. ――one lens = monocle, you will encounter this again in kanji like descend (#1308).
早;ソウ、サッ;はや.い、はや、はや-、はや.まる、はや.める、さ-;さか, さわ, そ, わ;early, fast;日: day, sun, Japan, counter for days<br>十: ten;日;ひ・ひへん・にち・にちへん;(none);仮借 Loan;early;The sun up is early, well before ten.;An early sun-flower looks like a miniature sun perched on a needlelike stems.
木;ボク、モク;き、こ-;ぐ, も, もと;tree, wood;木: tree, tree radical (no. 75);木;き・きへん;(none);象形 Pictographic;tree;If you need a story for a tree, then you need to be hit by one.;Pictograph of a tree.
林;リン;はやし;し;grove, forest;木: tree, wood<br>木: tree, wood;木;き・きへん;(none);会意 Compound Ideographic;grove;A grove has at least two TREEs.;Two tree huggers saying that protecting the environment is grovey man...
山;サン、セン;やま;さ, やの, やん;mountain;山: mountain, mountain radical (no. 46);山;やま・やまへん・やまかんむり;(none);象形 Pictographic;mountain;Pictograph, see book. * As a primitive this element appears equally as well at the top or bottom of the kanjis (besides appearing to the left). Since a mountain often brings to mind towering peaks, I will consider it implied that the element is placed at the top of the kanji. When this primitive appears at the bottom, I will arrange my story in a way that other elements are said to be at the very top of the mountain (see FRAME 775 for an example).;YOU CAN´T POSSIBLY NEED A MNEMONIC FOR THIS!!!!
